bookid,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,myrating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,dateread,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7190,"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,"Dumas, Alexandre","Richard Pevear, Michael Page, John Lee, Brett Helquist, Michael York, Sylvie Thorel-Cailleteau, Milo Winter, Bill Homewood, Arthur Paul John Charles James Gore Sudley, S.N. Rizvi, Walter Covell, Louis Jourdan, Daniel Rasmusson, Philip Bates, William Barrow, August Zoller, Marisa Zini, Moshe Ukle, Pierre Toutain-Dorbec, Jacques Georges Clemenc Le Clercq, Natalie Montoto, S.M. Sheley, Александр Дюма, Giorgio Manganelli, William Robson, Isabel Ely Lord",,,0,4.08,Modern Library,Paperback,625,2001,1844,,2022/01/06,to-read,to-read (#441),to-read,,,,0,,,0,,,,,
10073506,"Tinker, Tailor, Soldier, Spy (George Smiley, #5; Karla Trilogy #1)",John le Carré,"Carré, John le",,0143119788,9780143119784,0,4.04,Penguin Books,Paperback,381,2011,1974,,2022/01/06,to-read,to-read (#440),to-read,,,,0,,,0,,,,,
19494,The Spy Who Came In from the Cold (George Smiley #3),John le Carré,"Carré, John le",,,9780743442534,0,4.06,Scribner,Paperback,224,2001,1963,,2022/01/06,to-read,to-read (#439),to-read,,,,0,,,0,,,,,
30688435,Exit West,Mohsin Hamid,"Hamid, Mohsin",,0735212171,9780735212176,0,3.77,Riverhead,Hardcover,231,2017,2017,,2022/01/06,to-read,to-read (#438),to-read,,,,0,,,0,,,,,
248787,The World Without Us,Alan Weisman,"Weisman, Alan",,,,0,3.80,Thomas Dunne Books,Hardcover,324,2007,2007,,2022/01/05,to-read,to-read (#437),to-read,,,,0,,,0,,,,,
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,059331817X,9780593318171,0,3.80,Alfred A. Knopf,Hardcover,303,2021,2021,,2022/01/02,to-read,to-read (#436),to-read,,,,0,,,0,,,,,
8171378,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,"Wilkerson, Isabel",,0679444327,9780679444329,0,4.42,Random House,Hardcover,622,2010,2010,,2021/12/31,to-read,to-read (#435),to-read,,,,0,,,0,,,,,
49970070,Nature's Mutiny: How the Little Ice Age Transformed the West and Shaped the Present,Phillip Blom,"Blom, Phillip",,,,1,3.74,Picador,Kindle Edition,,2019,,2021/12/27,2021/12/09,,,read,,,,1,,,0,,,,,
315788,The Birth Partner ,Penny Simkin,"Simkin, Penny",,1558321950,9781558321953,4,4.31,Harvard Common Press,Paperback,337,2001,1989,2021/12/27,2021/08/25,,,read,,,,1,,,0,,,,,
39849661,Climate: A New Story,Charles Eisenstein,"Eisenstein, Charles",,1623172489,9781623172480,0,4.43,North Atlantic Books,Paperback,320,2018,2018,,2021/12/20,to-read,to-read (#434),to-read,,,,0,,,0,,,,,
106728,The Timeless Way of Building,Christopher W. Alexander,"Alexander, Christopher W.",,0195024028,9780195024029,0,4.36,"Oxford University Press, USA",Hardcover,552,1979,1978,,2021/12/18,to-read,to-read (#433),to-read,,,,0,,,0,,,,,
41591206,Downriver: Into the Future of Water in the West,Heather Hansman,"Hansman, Heather",,022643267X,9780226432670,5,4.07,University of Chicago Press,Hardcover,248,2019,2019,2021/12/15,2020/10/16,scribd,scribd (#67),read,,,,1,,,0,,,,,
830,Snow Crash,Neal Stephenson,"Stephenson, Neal",Guy Abadia,0553380958,9780553380958,0,4.03,Bantam Books,Paperback,438,2000,1992,2021/09/17,2017/05/14,paused,paused (#40),paused,,,,1,,,0,,,,,
54785515,Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"Burkeman, Oliver",,0374159122,9780374159122,4,4.32,"Farrar, Straus and Giroux",Hardcover,288,2021,2021,2021/12/02,2021/09/20,,,read,,,,1,,,0,,,,,
40536148,High Growth Handbook,Elad Gil,"Gil, Elad",,1732265100,9781732265103,0,4.00,Stripe Press,Hardcover,344,2018,2018,,2021/12/01,to-read,to-read (#432),to-read,,,,0,,,0,,,,,
51152447,Caste: The Origins of Our Discontents,Isabel Wilkerson,"Wilkerson, Isabel",,0593230256,9780593230251,0,4.55,Random House,Hardcover,496,2020,2020,,2021/11/24,to-read,to-read (#431),to-read,,,,0,,,0,,,,,
18054422,Rise of the DEO: Leadership by Design,Maria Giudice,"Giudice, Maria",Christopher Ireland,0321934393,9780321934390,0,3.64,New Riders Publishing,Paperback,213,2013,2013,,2021/11/22,to-read,to-read (#430),to-read,,,,0,,,0,,,,,
5070865,The Food of a Younger Land: The WPA's Portrait of Food in Pre-World War II America,Mark Kurlansky,"Kurlansky, Mark",,1594488657,9781594488658,2,3.46,Riverhead Hardcover,Hardcover,398,2009,2009,2021/11/20,2021/09/14,,,read,,,,1,,,0,,,,,
48594669,The Man Behind The Maps Hardcover,James Niehues,"Niehues, James","Todd Bennett, Ben Farrow, Jason Blevins",1733875905,9781733875905,5,4.58,Open Road Ski Company,Hardcover,292,2019,,2021/11/16,2021/10/12,,,read,,,,1,,,0,,,,,
56024292,Paradise: One Town's Struggle to Survive an American Wildfire,Lizzie Johnson,"Johnson, Lizzie",,0593136381,9780593136386,0,4.38,Crown Publishing Group (NY),Hardcover,432,2021,2021,,2021/11/15,to-read,to-read (#429),to-read,,,,0,,,0,,,,,
57044148,Subpar Parks: America's Most Extraordinary National Parks and Their Least Impressed Visitors,Amber Share,"Share, Amber",,0593185544,9780593185544,0,4.03,Plume Books,Hardcover,230,2021,2021,,2021/11/15,to-read,to-read (#428),to-read,,,,0,,,0,,,,,
95713,How Can I Help? Stories and Reflection on Service,Ram Dass & Paul Gorman,"Gorman, Ram Dass & Paul",,0394729471,9780394729473,0,4.17,Knopf,Paperback,256,2011,1985,,2021/11/15,to-read,to-read (#427),to-read,,,,0,,,0,,,,,
70401,On the Road,Jack Kerouac,"Kerouac, Jack",,0140042598,9780140042597,3,3.62,Penguin Books,Paperback,307,1976,1957,2013/08/12,2013/07/27,,,read,,,,1,,,0,,,,,
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,,,0,4.34,Penguin Books,Paperback,462,2019,2016,,2021/11/10,to-read,to-read (#426),to-read,,,,0,,,0,,,,,
57610127,The Didomenico Fragment,Amor Towles,"Towles, Amor",John Lithgow,,,0,4.20,Audible Originals,Audible Audio,98,2021,2021,,2021/11/10,to-read,to-read (#425),to-read,,,,0,,,0,,,,,
18652777,Disciplined Entrepreneurship: 24 Steps to a Successful Startup,Bill Aulet,"Aulet, Bill",,,,0,4.29,Wiley,Kindle Edition,288,2013,2013,,2021/10/26,to-read,to-read (#424),to-read,,,,0,,,0,,,,,
59339668,"The Origin of Names, Words and Everything in Between: Volume II",Patrick Foote,"Foote, Patrick",,,,0,4.33,,Kindle Edition,,2021,,,2021/10/25,to-read,to-read (#423),to-read,,,,0,,,0,,,,,
41224588,"The Origin of Names, Words and Everything in Between",Patrick Foote,"Foote, Patrick",,,,0,3.42,Mango,Kindle Edition,144,2018,,,2021/10/25,to-read,to-read (#422),to-read,,,,0,,,0,,,,,
50934794,The Expansion Sale: Four Must-Win Conversations to Keep and Grow Your Customers,Erik Peterson,"Peterson, Erik",Tim Riesterer,,,4,4.27,McGraw-Hill Education,Kindle Edition,257,2020,,2021/10/13,2020/09/29,audible,audible (#51),read,,,,1,,,0,,,,,
55997402,The Family Firm: A Data-Driven Guide to Better Decision Making in the Early School Years,Emily Oster,"Oster, Emily",,1984881752,9781984881755,0,3.72,Penguin Press,Hardcover,320,2021,2021,,2021/10/12,to-read,to-read (#421),to-read,,,,0,,,0,,,,,
31186222,The Physics of Brand: Understand the Forces Behind Brands That Matter,Aaron  Keller,"Keller, Aaron","Renee Marino, Asaf Keller",,,0,3.93,HOW Books,Kindle Edition,192,2016,,,2021/10/12,to-read,to-read (#420),to-read,,,,0,,,0,,,,,
45046689,"Three Tigers, One Mountain: A Journey Through the Bitter History and Current Conflicts of China, Korea, and Japan",Michael Booth,"Booth, Michael",,1250114063,9781250114068,2,3.95,St. Martin's Press,Hardcover,336,2020,2020,2021/10/12,2021/09/03,audible,audible (#65),read,,,,1,,,0,,,,,
55338968,The Cold Start Problem,Andrew Chen,"Chen, Andrew",,0062969749,9780062969743,0,4.23,Harper Business,Hardcover,386,2021,,,2021/10/09,to-read,to-read (#419),to-read,,,,0,,,0,,,,,
